id,label,node_type,zbetween_central,zdeg_central,zpagerank
2,"Schlegel, David J.",Author,0.0,0.535885167464,0.00515978162077
3,"Finkbeiner, Douglas P.",Author,0.0,0.535885167464,0.00515978162077
4,"Davis, Marc",Author,0.0,0.535885167464,0.00515978162077
5,"Perlmutter, S.",Author,0.0,0.535885167464,0.00515978162077
6,"Aldering, G.",Author,0.0,0.535885167464,0.00515978162077
7,"Goldhaber, G.",Author,0.0,0.535885167464,0.00515978162077
8,"Knop, R. A.",Author,0.0,0.535885167464,0.00515978162077
9,"Nugent, P.",Author,0.0,0.535885167464,0.00515978162077
10,"Castro, P. G.",Author,0.0,0.535885167464,0.00515978162077
11,"Deustua, S.",Author,0.0,0.535885167464,0.00515978162077
12,"Fabbro, S.",Author,0.0,0.535885167464,0.00515978162077
13,"Goobar, A.",Author,0.0,0.535885167464,0.00515978162077
14,"Groom, D. E.",Author,0.0,0.535885167464,0.00515978162077
15,"Hook, I. M.",Author,0.0,0.535885167464,0.00515978162077
16,"Kim, A. G.",Author,0.0,0.535885167464,0.00515978162077
17,"Kim, M. Y.",Author,0.0,0.535885167464,0.00515978162077
18,"Lee, J. C.",Author,0.0,0.535885167464,0.00515978162077
19,"Nunes, N. J.",Author,0.0,0.535885167464,0.00515978162077
20,"Pain, R.",Author,0.0,0.535885167464,0.00515978162077
21,"Pennypacker, C. R.",Author,0.0,0.535885167464,0.00515978162077
22,"Quimby, R.",Author,0.0,0.535885167464,0.00515978162077
23,"Lidman, C.",Author,0.0,0.535885167464,0.00515978162077
24,"Ellis, R. S.",Author,0.0,0.535885167464,0.00515978162077
25,"Irwin, M.",Author,0.0,0.535885167464,0.00515978162077
26,"McMahon, R. G.",Author,0.0,0.535885167464,0.00515978162077
27,"Ruiz-Lapuente, P.",Author,0.0,0.535885167464,0.00515978162077
28,"Walton, N.",Author,0.0,0.535885167464,0.00515978162077
29,"Schaefer, B.",Author,0.0,0.535885167464,0.00515978162077
30,"Boyle, B. J.",Author,0.0,0.535885167464,0.00515978162077
31,"Filippenko, A. V.",Author,0.0,0.535885167464,0.00515978162077
32,"Matheson, T.",Author,0.0,0.535885167464,0.00515978162077
33,"Fruchter, A. S.",Author,0.0,0.535885167464,0.00515978162077
34,"Panagia, N.",Author,0.0,0.535885167464,0.00515978162077
35,"Newberg, H. J. M.",Author,0.0,0.535885167464,0.00515978162077
36,"Couch, W. J.",Author,0.0,0.535885167464,0.00515978162077
37,"Project, The Supernova Cosmology",Author,0.0,0.535885167464,0.00515978162077
38,"Riess, Adam G.",Author,0.0199452250536,0.799043062201,0.00836107083732
39,"Filippenko, Alexei V.",Author,0.0199452250536,0.799043062201,0.00836107083732
40,"Challis, Peter",Author,0.0199452250536,0.799043062201,0.00836107083732
41,"Clocchiatti, Alejandro",Author,0.0,0.33971291866,0.00390730983877
42,"Diercks, Alan",Author,0.0,0.33971291866,0.00390730983877
43,"Garnavich, Peter M.",Author,0.0,0.33971291866,0.00390730983877
44,"Gilliland, Ron L.",Author,0.0,0.33971291866,0.00390730983877
45,"Hogan, Craig J.",Author,0.0,0.33971291866,0.00390730983877
46,"Jha, Saurabh",Author,0.0199452250536,0.799043062201,0.00836107083732
47,"Kirshner, Robert P.",Author,0.0199452250536,0.799043062201,0.00836107083732
48,"Leibundgut, B.",Author,0.0,0.33971291866,0.00390730983877
49,"Phillips, M. M.",Author,0.0,0.33971291866,0.00390730983877
50,"Reiss, David",Author,0.0,0.33971291866,0.00390730983877
51,"Schmidt, Brian P.",Author,0.0,0.33971291866,0.00390730983877
52,"Schommer, Robert A.",Author,0.0,0.33971291866,0.00390730983877
53,"Smith, R. Chris",Author,0.0,0.33971291866,0.00390730983877
54,"Spyromilio, J.",Author,0.0,0.33971291866,0.00390730983877
55,"Stubbs, Christopher",Author,0.0,0.33971291866,0.00390730983877
56,"Suntzeff, Nicholas B.",Author,0.0,0.33971291866,0.00390730983877
57,"Tonry, John",Author,0.0199452250536,0.799043062201,0.00836107083732
81,"Anders, Edward",Author,0.0,0.00478468899522,0.00110000683082
82,"Grevesse, Nicolas",Author,0.00956937799043,0.0430622009569,0.00408167499939
83,"Cardelli, Jason A.",Author,0.0,0.535885167464,0.00515978162077
84,"Clayton, Geoffrey C.",Author,0.0,0.535885167464,0.00515978162077
85,"Mathis, John S.",Author,0.0,0.535885167464,0.00515978162077
95,"Navarro, Julio F.",Author,0.0,0.535885167464,0.00515978162077
96,"Frenk, Carlos S.",Author,0.0978790945896,0.631578947368,0.00827513982681
97,"White, Simon D. M.",Author,0.0978790945896,0.631578947368,0.00827513982681
104,"Skrutskie, M. F.",Author,0.0,0.33971291866,0.00390730983877
105,"Cutri, R. M.",Author,0.0,0.33971291866,0.00390730983877
106,"Stiening, R.",Author,0.0,0.33971291866,0.00390730983877
107,"Weinberg, M. D.",Author,0.0,0.33971291866,0.00390730983877
108,"Schneider, S.",Author,0.0,0.33971291866,0.00390730983877
109,"Carpenter, J. M.",Author,0.0,0.33971291866,0.00390730983877
110,"Beichman, C.",Author,0.0,0.33971291866,0.00390730983877
111,"Capps, R.",Author,0.0,0.33971291866,0.00390730983877
112,"Chester, T.",Author,0.0,0.33971291866,0.00390730983877
113,"Elias, J.",Author,0.0,0.33971291866,0.00390730983877
114,"Huchra, J.",Author,0.0,0.33971291866,0.00390730983877
115,"Liebert, J.",Author,0.0,0.33971291866,0.00390730983877
116,"Lonsdale, C.",Author,0.0,0.33971291866,0.00390730983877
117,"Monet, D. G.",Author,0.0,0.33971291866,0.00390730983877
118,"Price, S.",Author,0.0,0.33971291866,0.00390730983877
119,"Seitzer, P.",Author,0.0,0.33971291866,0.00390730983877
120,"Jarrett, T.",Author,0.0,0.33971291866,0.00390730983877
121,"Kirkpatrick, J. D.",Author,0.0,0.33971291866,0.00390730983877
122,"Gizis, J. E.",Author,0.0,0.33971291866,0.00390730983877
123,"Howard, E.",Author,0.0,0.33971291866,0.00390730983877
124,"Evans, T.",Author,0.0,0.33971291866,0.00390730983877
125,"Fowler, J.",Author,0.0,0.33971291866,0.00390730983877
126,"Fullmer, L.",Author,0.0,0.33971291866,0.00390730983877
127,"Hurt, R.",Author,0.0,0.33971291866,0.00390730983877
128,"Light, R.",Author,0.0,0.33971291866,0.00390730983877
129,"Kopan, E. L.",Author,0.0,0.33971291866,0.00390730983877
130,"Marsh, K. A.",Author,0.0,0.33971291866,0.00390730983877
131,"McCallon, H. L.",Author,0.0,0.33971291866,0.00390730983877
132,"Tam, R.",Author,0.0,0.33971291866,0.00390730983877
133,"Van Dyk, S.",Author,0.0,0.33971291866,0.00390730983877
134,"Wheelock, S.",Author,0.0,0.33971291866,0.00390730983877
135,"Salpeter, Edwin E.",Author,0.0,0.535885167464,0.00515978162077
136,"Bruzual, G.",Author,0.0,0.0143540669856,0.00209771888418
137,"Charlot, S.",Author,0.0,0.0143540669856,0.00209771888418
140,"Binney, James",Author,0.0,0.0191387559809,0.00209777652818
141,"Tremaine, Scott",Author,0.0576706575159,0.818181818182,0.0101299147387
152,"Stetson, Peter B.",Author,0.056036069194,0.564593301435,0.00738529662066
153,"Landolt, Arlo U.",Author,0.0,0.33971291866,0.00390730983877
154,"Peebles, Phillip James Edwin",Author,0.0,0.0191387559809,0.00209777652818
155,"Kroto, H. W.",Author,0.0,0.1004784689,0.00374461546104
156,"Heath, J. R.",Author,0.0,0.1004784689,0.00374461546104
157,"O'Brien, S. C.",Author,0.0,0.1004784689,0.00374461546104
